CodeA,CodeVR,DateV,DureeVol,NbrPassagersEco,NbrPassagersAffaire,NbrPassagersPremiere,ChargeKerosene,ChargeTotale
AC6001,AC500,2024-05-10,6.09,89,16,7,16.43,15.57
AF1003,AF182,2024-05-10,2.04,179,33,12,5.98,31.74
DL2001,DL100,2024-05-10,9.08,180,33,12,30.37,24.32
IB3001,IB200,2024-05-10,3.39,146,27,10,9.38,26.84
JL7001,JL600,2024-05-10,2.91,102,19,7,10.95,20.59
AC6001,AC500,2024-05-11,10.92,58,10,5,35.55,1.0
AF1002,AF180,2024-05-11,10.46,162,30,11,37.14,21.48
AF1004,AF181,2024-05-11,10.55,95,17,7,32.03,8.97
DL2002,DL100,2024-05-11,5.49,139,26,9,18.46,23.89
LH4001,LH301,2024-05-11,7.14,235,44,15,24.83,31.78
AF1001,AF182,2024-05-12,6.77,66,12,5,26.88,3.52
AF1003,AF181,2024-05-12,6.58,193,36,13,23.99,30.74
AF1004,AF181,2024-05-12,9.13,135,25,9,23.84,17.16
BA5001,BA400,2024-05-12,6.94,176,33,12,19.82,27.32
LH4001,LH300,2024-05-12,10.5,280,52,19,36.33,41.87
AC6001,AC500,2024-05-13,1.06,64,12,4,3.44,15.42
AF1004,AF182,2024-05-13,6.96,111,20,8,27.62,13.38
LH4001,LH300,2024-05-13,11.58,205,38,14,41.67,34.6
AF1002,AF181,2024-05-14,11.29,173,32,12,29.94,24.79
BA5001,BA400,2024-05-14,8.61,159,29,11,22.02,25.25
DL2001,DL101,2024-05-14,3.29,132,24,9,12.14,18.15
DL2002,DL101,2024-05-14,10.81,87,16,6,42.83,20.29
IB3001,IB201,2024-05-14,3.79,93,17,7,10.46,18.22
AF1003,AF181,2024-05-15,2.3,173,32,12,5.91,24.84
BA5001,BA400,2024-05-15,1.46,168,31,11,5.43,22.58
AF1003,AF182,2024-05-16,2.79,156,29,10,8.64,23.25
BA5001,BA400,2024-05-16,1.93,106,19,8,5.75,22.72
JL7001,JL600,2024-05-16,10.68,190,35,13,29.77,28.33
AC6001,AC500,2024-05-17,5.23,55,10,4,19.25,11.96
AF1002,AF182,2024-05-17,9.6,258,48,17,36.18,41.54
AF1004,AF182,2024-05-17,6.43,130,24,9,20.6,20.4
DL2001,DL101,2024-05-17,10.74,124,23,9,31.94,21.09
IB3001,IB200,2024-05-17,11.72,142,26,10,45.76,1.0
AC6001,AC500,2024-05-18,7.41,81,15,6,20.77,11.23
DL2002,DL100,2024-05-18,10.93,140,26,10,31.33,21.56
JL7001,JL600,2024-05-18,2.44,100,18,8,7.69,20.15
AF1002,AF182,2024-05-19,11.91,130,24,9,36.24,18.46
AF1003,AF182,2024-05-19,2.65,164,30,11,9.79,22.84
DL2002,DL100,2024-05-19,2.03,128,24,9,6.66,23.21
AF1001,AF180,2024-05-20,4.54,91,17,6,13.4,12.51
AF1002,AF181,2024-05-20,8.27,156,29,11,24.77,25.19
AF1004,AF182,2024-05-20,10.35,124,23,9,39.23,1.77
BA5001,BA400,2024-05-20,3.76,145,27,10,11.49,19.63
DL2002,DL101,2024-05-20,5.9,89,16,7,18.79,17.29
IB3001,IB200,2024-05-20,3.85,91,17,6,11.28,13.35
JL7001,JL600,2024-05-20,5.89,166,31,11,23.01,22.83
AF1001,AF182,2024-05-21,9.51,93,17,7,37.01,1.0
AF1002,AF182,2024-05-21,7.44,137,25,10,22.11,20.1
AF1004,AF181,2024-05-21,4.49,116,21,8,15.49,20.2
DL2001,DL101,2024-05-21,1.85,112,21,8,6.64,23.81
DL2002,DL101,2024-05-21,7.51,121,22,9,21.28,23.27
IB3001,IB201,2024-05-21,6.61,117,22,8,18.51,22.28
AC6001,AC500,2024-05-22,9.23,94,17,7,34.02,1.0
AF1001,AF181,2024-05-22,9.96,60,11,5,34.02,1.0
JL7001,JL600,2024-05-22,3.58,145,27,10,12.63,22.21
AF1002,AF180,2024-05-23,8.05,184,34,12,31.51,24.72
DL2002,DL101,2024-05-23,2.92,132,24,10,8.47,20.9
IB3001,IB200,2024-05-23,10.28,139,26,9,37.39,3.61
AF1001,AF180,2024-05-24,9.32,108,20,8,31.15,1.0
AF1002,AF181,2024-05-24,8.87,144,27,9,30.99,26.75
LH4001,LH301,2024-05-24,7.48,277,52,18,25.57,37.34
AF1002,AF182,2024-05-25,6.81,209,39,14,22.44,36.01
JL7001,JL600,2024-05-25,2.6,136,25,10,8.83,25.87
DL2001,DL101,2024-05-26,5.97,110,20,8,16.93,23.26
JL7001,JL600,2024-05-26,10.29,112,21,8,26.93,15.61
LH4001,LH300,2024-05-26,9.14,266,49,18,30.39,36.65
BA5001,BA400,2024-05-27,11.32,142,26,10,39.55,22.63
DL2002,DL100,2024-05-27,8.93,165,31,11,27.4,22.59
AC6001,AC500,2024-05-28,1.68,87,16,6,4.72,19.08
AF1001,AF181,2024-05-28,9.59,74,13,6,37.59,1.0
DL2002,DL100,2024-05-28,10.54,164,30,11,36.09,28.56
JL7001,JL600,2024-05-28,9.93,100,18,8,31.08,20.45
AC6001,AC500,2024-05-29,8.07,52,9,4,27.7,4.3
AF1001,AF180,2024-05-29,10.25,106,19,8,30.03,1.0
AF1003,AF180,2024-05-29,9.36,165,31,11,25.38,30.11
AF1004,AF180,2024-05-29,6.51,110,20,8,23.74,17.26
LH4001,LH300,2024-05-29,4.17,392,73,26,16.65,51.53
AF1002,AF181,2024-05-30,6.14,256,48,16,21.96,37.42
DL2001,DL100,2024-05-30,10.34,145,27,10,31.09,24.29
AF1004,AF180,2024-05-31,9.31,111,20,8,34.29,6.71
DL2002,DL100,2024-05-31,1.62,149,28,10,6.19,20.06
AC6001,AC500,2024-06-01,6.63,76,14,5,20.02,12.22
AF1002,AF180,2024-06-01,10.76,160,30,11,40.7,27.96
DL2002,DL101,2024-06-02,7.03,135,25,9,24.39,19.56
LH4001,LH300,2024-06-02,5.36,314,58,21,19.59,43.52
AF1001,AF182,2024-06-04,9.12,80,15,5,29.74,1.0
AF1003,AF181,2024-06-04,3.16,204,38,14,9.0,32.84
BA5001,BA400,2024-06-04,9.67,152,28,11,36.55,22.17
DL2001,DL100,2024-06-04,7.81,165,31,11,21.67,30.04
AC6001,AC500,2024-06-05,2.68,83,15,6,10.42,19.08
AF1001,AF182,2024-06-05,6.54,83,15,6,21.87,8.53
AF1002,AF181,2024-06-05,9.97,205,38,14,28.92,26.98
AF1003,AF182,2024-06-05,1.19,172,32,11,3.77,31.26
DL2001,DL101,2024-06-05,4.69,186,34,13,18.57,26.0
LH4001,LH300,2024-06-05,9.08,371,69,24,28.52,51.63
AC6001,AC500,2024-06-06,8.85,92,17,7,34.96,1.0
AF1001,AF180,2024-06-06,11.68,92,17,7,45.9,1.0
AF1002,AF180,2024-06-06,3.54,237,44,16,12.48,34.76
AF1004,AF182,2024-06-06,11.68,100,18,7,31.91,9.09
AC6001,AC500,2024-06-07,10.66,84,15,6,37.21,1.0
AF1001,AF180,2024-06-08,11.51,60,11,5,35.29,1.0
AF1004,AF181,2024-06-08,7.1,98,18,7,23.16,17.84
JL7001,JL600,2024-06-08,2.4,108,20,8,6.56,15.05
LH4001,LH300,2024-06-08,3.05,301,56,20,10.6,40.53
AF1002,AF181,2024-06-09,6.9,184,34,13,23.72,28.54
DL2002,DL101,2024-06-09,6.13,159,29,11,20.23,24.57
AF1002,AF181,2024-06-10,11.35,192,36,13,42.01,28.52
LH4001,LH300,2024-06-10,1.55,306,57,20,5.92,44.76
AF1003,AF181,2024-06-11,3.81,224,42,15,11.22,34.45
BA5001,BA400,2024-06-11,7.46,108,20,7,21.33,19.45
JL7001,JL600,2024-06-11,10.98,192,36,12,37.19,28.11
AC6001,AC500,2024-06-12,10.79,68,12,5,41.87,1.0
AF1001,AF181,2024-06-12,5.42,114,21,8,13.8,16.37
AF1002,AF180,2024-06-12,3.23,144,27,9,12.81,23.42
AF1004,AF181,2024-06-12,3.77,80,15,6,12.85,17.74
DL2002,DL101,2024-06-12,11.32,131,24,9,37.31,17.88
JL7001,JL600,2024-06-12,8.51,132,24,10,25.04,24.07
AF1002,AF180,2024-06-13,2.76,247,46,16,10.5,34.82
AF1003,AF180,2024-06-13,5.59,191,35,13,18.91,27.3
AC6001,AC500,2024-06-14,7.98,68,12,5,31.68,1.0
AF1002,AF181,2024-06-14,11.32,248,46,17,28.92,34.87
AF1004,AF180,2024-06-14,8.45,97,18,7,26.75,14.25
BA5001,BA400,2024-06-14,11.31,104,19,7,43.49,17.66
DL2001,DL100,2024-06-14,7.72,104,19,8,20.96,19.17
LH4001,LH300,2024-06-14,5.51,293,55,19,16.55,44.19
AF1002,AF181,2024-06-15,11.21,244,45,16,40.28,35.5
AF1004,AF180,2024-06-15,5.76,157,29,11,20.35,20.65
AF1003,AF182,2024-06-16,9.38,132,24,10,32.46,21.37
DL2002,DL101,2024-06-16,9.01,140,26,10,33.52,24.75
AF1004,AF180,2024-06-17,4.46,95,17,7,13.26,15.85
BA5001,BA400,2024-06-17,7.5,160,30,11,19.84,21.51
DL2002,DL101,2024-06-17,3.93,129,24,9,13.43,23.93
IB3001,IB200,2024-06-17,7.35,135,25,9,21.26,20.19
AC6001,AC500,2024-06-18,4.97,97,18,7,14.71,17.29
IB3001,IB201,2024-06-18,1.22,108,20,8,3.95,21.46
AF1001,AF181,2024-06-19,8.47,108,20,7,21.31,9.09
JL7001,JL600,2024-06-19,3.1,115,21,8,9.09,16.3
AF1001,AF181,2024-06-20,7.23,112,21,7,23.09,7.31
AF1002,AF182,2024-06-20,5.35,193,36,13,15.94,31.3
IB3001,IB200,2024-06-20,11.78,111,20,8,32.08,8.92
AC6001,AC500,2024-06-21,4.15,101,19,7,14.5,14.63
AF1001,AF181,2024-06-21,1.83,88,16,7,6.83,12.3
AF1002,AF180,2024-06-21,2.09,129,24,9,6.73,24.69
DL2001,DL100,2024-06-21,2.68,150,28,10,6.71,25.37
JL7001,JL600,2024-06-21,1.53,128,24,8,5.7,22.63
AF1003,AF182,2024-06-22,7.68,172,32,11,29.98,28.71
DL2002,DL101,2024-06-22,9.09,126,23,9,23.61,24.35
AF1004,AF180,2024-06-23,6.01,96,18,7,16.3,17.11
BA5001,BA400,2024-06-23,5.89,128,24,8,22.57,17.3
AF1001,AF181,2024-06-24,10.59,116,21,8,33.19,1.0
AF1002,AF181,2024-06-24,3.94,164,30,11,13.85,23.66
AF1003,AF181,2024-06-24,7.49,124,23,8,28.29,21.37
AF1001,AF180,2024-06-25,8.31,76,14,5,22.0,8.4
BA5001,BA400,2024-06-25,6.31,96,18,7,19.05,21.42
JL7001,JL600,2024-06-25,1.1,116,21,8,3.16,24.41
AC6001,AC500,2024-06-26,10.75,62,11,5,40.88,1.0
AF1002,AF181,2024-06-26,5.94,210,39,14,22.51,33.2
AF1004,AF180,2024-06-26,2.05,81,15,6,6.31,14.54
AF1003,AF180,2024-06-27,6.4,229,43,15,21.25,37.89
AF1004,AF182,2024-06-27,1.63,113,21,8,5.27,19.88
BA5001,BA400,2024-06-27,11.56,152,28,11,30.0,21.42
JL7001,JL600,2024-06-27,4.44,100,18,7,12.3,17.43
AC6001,AC500,2024-06-28,3.94,86,16,6,13.89,18.24
AF1001,AF181,2024-06-28,3.64,64,12,4,11.43,11.15
AF1002,AF182,2024-06-28,4.17,216,40,15,13.56,31.92
DL2001,DL101,2024-06-28,10.97,131,24,9,43.55,22.45
DL2002,DL101,2024-06-28,9.19,104,19,7,33.64,17.99
JL7001,JL600,2024-06-28,6.82,160,30,11,22.93,23.33
AC6001,AC500,2024-06-29,5.54,94,17,7,17.06,14.94
AF1001,AF182,2024-06-29,1.23,118,22,8,3.66,20.67
JL7001,JL600,2024-06-29,7.32,153,28,11,22.87,27.02
AF1002,AF180,2024-06-30,4.68,129,24,9,15.94,18.95
AF1003,AF182,2024-06-30,5.35,128,24,8,18.76,23.86
AF1004,AF180,2024-06-30,1.88,117,22,8,6.17,23.22
BA5001,BA400,2024-06-30,11.1,128,24,8,42.48,18.5
DL2001,DL100,2024-06-30,8.78,180,33,12,27.81,27.63
DL2002,DL101,2024-06-30,8.34,151,28,10,32.15,25.61
LH4001,LH301,2024-06-30,8.83,301,56,20,29.13,45.48
AC6001,AC500,2024-07-01,10.66,103,19,7,33.53,1.0
AF1002,AF181,2024-07-01,9.17,217,40,15,24.61,35.29
AF1003,AF180,2024-07-01,5.62,165,31,11,21.03,23.69
BA5001,BA400,2024-07-01,8.4,140,26,9,23.89,18.94
DL2001,DL101,2024-07-01,4.44,121,22,9,14.2,23.42
AC6001,AC500,2024-07-02,6.48,77,14,6,19.6,12.4
AF1003,AF182,2024-07-02,10.03,227,42,15,28.43,33.88
AF1004,AF182,2024-07-02,1.91,137,25,10,5.24,20.32
BA5001,BA400,2024-07-02,8.25,161,30,11,22.28,30.09
DL2002,DL100,2024-07-02,8.68,120,22,9,26.87,22.12
AC6001,AC500,2024-07-03,4.25,60,11,5,14.32,14.16
AF1002,AF182,2024-07-03,8.85,201,37,14,25.21,33.81
AF1004,AF180,2024-07-03,8.1,96,18,7,26.43,14.57
BA5001,BA400,2024-07-03,10.82,116,21,8,31.04,24.22
AF1001,AF182,2024-07-05,5.82,89,16,7,18.79,11.61
AF1003,AF181,2024-07-05,4.45,158,29,11,16.34,21.09
AF1002,AF182,2024-07-06,2.8,155,29,10,10.26,24.23
AF1003,AF181,2024-07-06,8.56,175,32,12,27.26,31.38
AF1002,AF182,2024-07-07,9.15,176,33,11,34.22,27.83
AF1003,AF182,2024-07-07,5.4,202,37,14,17.15,33.33
BA5001,BA400,2024-07-07,7.17,115,21,8,18.21,24.02
DL2001,DL100,2024-07-07,10.58,128,24,9,32.7,24.22
JL7001,JL600,2024-07-07,3.76,187,35,12,12.24,27.46
LH4001,LH301,2024-07-07,6.95,234,43,16,27.17,32.14
AC6001,AC500,2024-07-08,8.37,92,17,7,33.48,1.0
AF1002,AF182,2024-07-08,4.0,172,32,11,14.7,28.72
LH4001,LH300,2024-07-08,2.95,374,70,24,8.15,51.74
AF1004,AF181,2024-07-09,6.93,112,21,8,27.17,13.83
BA5001,BA400,2024-07-09,7.13,168,31,11,18.83,23.8
DL2002,DL101,2024-07-09,3.78,123,23,8,14.88,24.14
AC6001,AC500,2024-07-10,9.53,52,9,4,26.19,5.81
AF1004,AF182,2024-07-10,3.68,149,28,10,14.05,20.95
DL2002,DL101,2024-07-10,1.86,114,21,8,6.34,22.9
IB3001,IB201,2024-07-10,8.49,111,20,8,33.43,7.57
DL2001,DL101,2024-07-11,8.91,104,19,7,28.64,15.12
AF1003,AF180,2024-07-12,9.96,235,44,15,25.92,30.95
AF1004,AF180,2024-07-12,8.54,157,29,11,26.46,14.54
BA5001,BA400,2024-07-12,11.01,152,28,11,30.02,23.81
DL2001,DL101,2024-07-12,1.64,181,34,12,5.48,27.87
IB3001,IB201,2024-07-12,2.01,116,21,9,7.09,20.68
JL7001,JL600,2024-07-12,4.57,106,19,8,15.25,19.52
AF1002,AF181,2024-07-13,8.71,152,28,11,24.57,25.28
AF1004,AF181,2024-07-13,10.08,86,16,6,26.02,14.98
AC6001,AC500,2024-07-15,9.84,88,16,6,32.5,1.0
AF1002,AF182,2024-07-15,8.79,222,41,15,34.94,32.49
AF1003,AF182,2024-07-15,1.17,140,26,9,4.3,24.81
LH4001,LH300,2024-07-15,3.44,360,67,23,12.96,48.99
AC6001,AC500,2024-07-16,9.8,66,12,5,33.21,1.0
DL2001,DL100,2024-07-16,10.54,132,24,9,39.32,20.45
AC6001,AC500,2024-07-17,10.91,68,12,6,34.7,1.0
AF1003,AF180,2024-07-17,3.01,136,25,10,9.96,22.12
BA5001,BA400,2024-07-17,8.95,152,28,10,32.83,23.17
DL2001,DL101,2024-07-17,11.24,162,30,11,30.46,24.43
AF1001,AF181,2024-07-18,3.99,101,19,7,13.39,15.55
AF1002,AF182,2024-07-18,8.94,132,24,9,28.02,22.22
AF1001,AF180,2024-07-19,5.52,80,15,5,16.02,14.38
AF1002,AF180,2024-07-19,8.48,256,48,17,29.09,33.36
AF1003,AF182,2024-07-20,7.23,144,27,10,28.07,21.83
BA5001,BA400,2024-07-20,11.39,132,24,9,40.63,19.61
AF1001,AF181,2024-07-21,8.14,76,14,6,24.08,6.32
AF1002,AF181,2024-07-21,2.93,187,35,12,8.05,25.28
BA5001,BA400,2024-07-21,5.73,180,33,13,19.48,31.73
DL2001,DL100,2024-07-21,7.88,153,28,11,24.2,28.89
IB3001,IB200,2024-07-21,4.59,139,26,9,15.19,19.9
AF1004,AF181,2024-07-22,1.33,116,21,8,4.25,20.74
BA5001,BA400,2024-07-22,11.56,129,24,9,30.47,22.26
DL2001,DL101,2024-07-22,4.54,139,26,9,13.61,26.36
AC6001,AC500,2024-07-23,6.5,77,14,6,20.23,11.77
AF1001,AF180,2024-07-23,8.65,76,14,5,29.16,1.24
AF1003,AF182,2024-07-23,1.53,189,35,13,4.85,29.66
DL2001,DL101,2024-07-23,1.13,132,24,10,3.99,24.42
LH4001,LH301,2024-07-23,6.82,313,58,21,19.7,42.12
AF1001,AF180,2024-07-24,4.49,60,11,4,13.05,10.28
AF1002,AF181,2024-07-24,8.12,236,44,15,29.01,37.97
BA5001,BA400,2024-07-24,7.06,139,26,9,26.82,25.74
LH4001,LH301,2024-07-25,1.34,380,71,25,3.99,54.11
AF1002,AF181,2024-07-27,9.45,224,42,14,27.47,33.76
BA5001,BA400,2024-07-27,8.82,150,28,10,30.44,20.02
IB3001,IB200,2024-07-27,7.75,86,16,6,23.79,12.95
LH4001,LH301,2024-07-27,10.24,268,50,18,36.96,37.87
AF1001,AF181,2024-07-28,10.4,104,19,8,26.07,4.33
AF1002,AF182,2024-07-28,11.39,172,32,11,31.66,26.52
AF1004,AF182,2024-07-28,4.77,92,17,7,18.53,19.94
BA5001,BA400,2024-07-28,8.05,173,32,12,22.77,24.71
DL2001,DL100,2024-07-28,7.06,113,21,8,20.59,23.95
DL2002,DL101,2024-07-28,10.15,152,28,10,38.79,24.12
LH4001,LH300,2024-07-28,10.15,261,49,17,35.99,41.84
AF1003,AF182,2024-07-29,6.46,156,29,10,24.01,22.46
BA5001,BA400,2024-07-29,3.05,116,21,9,10.1,19.36
DL2001,DL101,2024-07-29,1.17,150,28,10,3.22,22.36
DL2002,DL100,2024-07-29,5.21,148,27,10,18.14,22.56
AF1001,AF182,2024-07-30,8.67,119,22,8,21.7,8.7
AF1003,AF180,2024-07-30,1.21,220,41,14,4.45,32.37
AF1001,AF181,2024-07-31,8.43,77,14,6,22.85,7.55
AF1004,AF181,2024-07-31,7.7,148,27,10,22.88,18.12
DL2002,DL100,2024-07-31,1.57,132,24,9,5.79,18.63
IB3001,IB201,2024-07-31,10.04,80,15,5,27.7,11.34
JL7001,JL600,2024-07-31,2.82,114,21,8,8.31,23.64
LH4001,LH300,2024-07-31,11.32,335,62,22,44.68,43.49
AF1001,AF180,2024-08-01,9.97,99,18,7,33.96,1.0
AF1004,AF182,2024-08-01,10.79,118,22,8,35.33,5.67
BA5001,BA400,2024-08-01,9.64,132,24,9,34.44,23.12
DL2002,DL101,2024-08-01,4.57,86,16,6,17.08,16.76
JL7001,JL600,2024-08-01,7.94,172,32,12,28.27,23.46
AF1001,AF180,2024-08-02,1.6,76,14,6,4.47,19.15
AF1002,AF182,2024-08-02,3.16,246,46,16,10.95,33.82
AF1004,AF180,2024-08-02,5.37,124,23,8,14.47,22.86
JL7001,JL600,2024-08-02,4.48,121,22,9,16.76,24.17
AF1002,AF182,2024-08-03,3.99,167,31,11,13.51,26.22
BA5001,BA400,2024-08-03,3.58,106,19,8,9.47,14.6
DL2002,DL100,2024-08-03,9.57,86,16,6,25.05,17.51
JL7001,JL600,2024-08-03,1.03,166,31,11,2.9,27.49
AF1003,AF181,2024-08-04,9.72,179,33,12,26.57,23.4
IB3001,IB201,2024-08-04,10.28,111,20,8,30.42,10.58
AF1001,AF182,2024-08-05,7.17,68,12,5,20.96,9.44
AF1002,AF180,2024-08-05,11.5,210,39,14,37.01,27.33
AF1004,AF180,2024-08-05,5.01,85,16,6,18.06,14.53
BA5001,BA400,2024-08-05,10.7,179,33,12,28.72,29.18
DL2001,DL101,2024-08-05,7.3,106,19,8,23.17,21.9
JL7001,JL600,2024-08-05,2.07,143,26,10,7.51,19.14
LH4001,LH300,2024-08-05,7.02,285,53,19,24.6,41.43
IB3001,IB200,2024-08-06,10.74,148,27,11,26.97,14.03
LH4001,LH300,2024-08-06,11.01,306,57,20,37.04,41.63
AF1001,AF181,2024-08-07,3.27,104,19,7,12.61,17.79
BA5001,BA400,2024-08-07,2.45,183,34,12,8.81,27.1
DL2001,DL100,2024-08-07,4.69,129,24,9,13.76,24.5
LH4001,LH301,2024-08-07,5.41,396,74,26,20.05,53.83
DL2001,DL100,2024-08-08,3.38,163,30,11,10.25,27.04
DL2002,DL100,2024-08-09,1.55,160,30,10,3.95,26.05
JL7001,JL600,2024-08-09,1.94,148,27,11,5.28,22.01
LH4001,LH301,2024-08-10,3.58,307,57,20,13.91,46.49
AC6001,AC500,2024-08-11,2.81,88,16,6,8.81,15.41
BA5001,BA400,2024-08-11,9.52,173,32,12,29.61,24.58
DL2001,DL101,2024-08-11,9.53,169,31,12,28.46,28.74
JL7001,JL600,2024-08-11,9.21,171,32,11,35.67,26.67
JL7001,JL600,2024-08-12,9.15,151,28,10,32.53,22.06
LH4001,LH300,2024-08-12,6.74,276,51,19,20.61,41.33
BA5001,BA400,2024-08-13,2.64,184,34,13,10.14,26.37
DL2001,DL101,2024-08-13,8.33,150,28,10,28.55,23.84
JL7001,JL600,2024-08-13,4.18,156,29,10,14.56,25.75
LH4001,LH300,2024-08-13,5.52,234,43,16,14.59,34.26
AF1004,AF180,2024-08-14,9.59,120,22,9,26.75,14.25
BA5001,BA400,2024-08-14,11.63,174,32,12,40.28,31.59
IB3001,IB200,2024-08-14,4.57,107,20,7,14.91,21.99
LH4001,LH301,2024-08-14,2.64,222,41,15,9.4,30.01
AC6001,AC500,2024-08-15,3.16,93,17,7,9.01,18.36
BA5001,BA400,2024-08-15,8.13,150,28,10,28.78,26.03
LH4001,LH301,2024-08-15,11.49,389,73,25,38.3,50.11
AF1001,AF181,2024-08-16,2.87,65,12,5,8.21,12.03
AF1003,AF182,2024-08-16,9.79,201,37,14,27.54,34.74
AF1004,AF180,2024-08-16,9.43,88,16,6,33.39,7.61
IB3001,IB200,2024-08-16,11.79,128,24,9,35.19,5.81
LH4001,LH300,2024-08-16,10.01,254,47,17,35.73,39.29
AF1001,AF181,2024-08-17,1.85,103,19,7,7.11,14.16
AF1004,AF180,2024-08-17,6.96,96,18,7,27.17,13.83
AC6001,AC500,2024-08-18,4.13,64,12,5,10.96,14.52
AF1004,AF180,2024-08-18,11.52,128,24,9,35.69,5.31
IB3001,IB201,2024-08-18,4.08,100,18,8,12.96,16.49
JL7001,JL600,2024-08-18,11.79,191,35,13,29.96,29.19
AC6001,AC500,2024-08-19,1.37,101,19,7,4.95,21.08
AF1002,AF180,2024-08-19,11.71,228,42,16,38.93,36.1
AF1004,AF182,2024-08-19,5.67,142,26,10,17.48,22.16
DL2002,DL101,2024-08-19,11.99,124,23,8,40.37,17.14
JL7001,JL600,2024-08-19,6.69,184,34,13,18.38,27.14
LH4001,LH300,2024-08-19,8.75,290,54,19,29.62,42.2
AF1001,AF180,2024-08-20,4.57,95,17,7,16.53,13.87
AF1003,AF182,2024-08-20,10.65,193,36,13,38.32,26.82
DL2002,DL101,2024-08-20,9.16,151,28,10,26.58,25.11
IB3001,IB201,2024-08-20,10.15,128,24,8,35.05,5.95
LH4001,LH300,2024-08-20,10.02,328,61,21,26.95,50.09
AF1002,AF182,2024-08-21,6.7,192,36,12,20.49,25.81
BA5001,BA400,2024-08-21,1.15,130,24,9,3.88,23.67
DL2001,DL101,2024-08-21,10.85,142,26,10,32.49,25.61
DL2002,DL100,2024-08-21,5.14,131,24,9,20.36,25.81
IB3001,IB200,2024-08-21,1.88,124,23,8,6.02,16.71
JL7001,JL600,2024-08-21,2.5,96,18,7,6.54,20.94
AC6001,AC500,2024-08-22,7.15,64,12,4,23.92,8.08
AF1002,AF182,2024-08-22,7.28,201,37,14,22.72,30.59
AF1003,AF181,2024-08-22,11.71,136,25,9,40.81,20.95
AF1004,AF180,2024-08-22,2.35,125,23,9,9.11,17.8
DL2001,DL100,2024-08-22,10.92,136,25,9,33.11,23.44
DL2001,DL100,2024-08-23,2.66,113,21,8,10.5,18.22
AC6001,AC500,2024-08-24,10.44,98,18,7,28.39,3.61
AF1002,AF180,2024-08-24,3.79,246,46,16,13.01,35.31
AF1003,AF181,2024-08-24,7.26,212,39,14,25.75,35.55
DL2002,DL100,2024-08-24,1.79,123,23,8,5.53,19.71
IB3001,IB200,2024-08-24,7.16,150,28,10,27.1,13.9
AF1001,AF182,2024-08-25,11.83,79,14,6,34.71,1.0
IB3001,IB201,2024-08-25,7.05,103,19,7,23.19,14.64
AF1001,AF180,2024-08-26,5.76,84,15,7,18.34,12.06
AF1002,AF180,2024-08-26,4.65,226,42,15,16.6,35.37
AC6001,AC500,2024-08-27,9.12,84,15,7,27.9,4.1
AF1004,AF182,2024-08-27,7.44,114,21,8,29.54,11.46
BA5001,BA400,2024-08-27,5.48,176,33,12,14.82,27.18
DL2002,DL101,2024-08-27,2.96,109,20,8,9.81,23.53
LH4001,LH300,2024-08-27,7.76,200,37,13,19.58,30.38
AC6001,AC500,2024-08-28,11.46,56,10,4,32.77,1.0
AF1003,AF180,2024-08-28,10.28,171,32,11,32.41,30.28
DL2002,DL101,2024-08-28,3.29,88,16,7,10.84,15.95
IB3001,IB200,2024-08-28,6.9,158,29,11,24.36,16.64
JL7001,JL600,2024-08-28,1.06,133,25,9,3.14,22.01
AF1002,AF182,2024-08-29,2.37,201,37,14,7.7,31.02
DL2002,DL101,2024-08-29,2.81,165,31,11,10.67,27.72
LH4001,LH300,2024-08-29,2.92,344,64,23,11.22,50.28
AC6001,AC500,2024-08-30,9.88,67,12,5,24.91,7.09
DL2001,DL100,2024-08-30,9.84,191,35,13,34.59,33.8
IB3001,IB200,2024-08-30,2.34,93,17,7,8.88,14.81
JL7001,JL600,2024-08-30,4.27,131,24,9,12.56,23.73
LH4001,LH300,2024-08-31,8.91,268,50,17,28.34,35.2
AF1001,AF181,2024-09-01,10.95,72,13,5,32.42,1.0
DL2001,DL100,2024-09-01,7.55,130,24,9,24.37,20.64
DL2002,DL100,2024-09-01,6.69,124,23,9,25.8,19.7
IB3001,IB200,2024-09-01,6.78,82,15,6,26.29,11.78
LH4001,LH301,2024-09-01,10.33,235,44,15,36.47,34.3
DL2001,DL101,2024-09-02,3.74,108,20,7,14.58,14.88
AF1003,AF180,2024-09-03,7.85,160,30,11,29.67,21.28
DL2001,DL101,2024-09-03,8.93,108,20,8,31.2,19.8
JL7001,JL600,2024-09-03,3.77,189,35,13,11.29,31.45
LH4001,LH300,2024-09-03,1.09,376,70,24,3.93,53.21
AC6001,AC500,2024-09-04,1.45,54,10,4,5.25,16.7
AF1002,AF182,2024-09-05,6.6,131,24,9,23.6,18.08
IB3001,IB201,2024-09-05,3.14,104,19,7,12.47,15.71
JL7001,JL600,2024-09-05,3.85,101,19,7,15.31,16.73
BA5001,BA400,2024-09-06,10.11,144,27,9,37.47,24.42
DL2001,DL101,2024-09-06,3.4,140,26,10,8.74,26.13
DL2002,DL101,2024-09-06,3.33,104,19,8,9.16,19.02
LH4001,LH300,2024-09-06,2.48,223,41,15,9.25,30.3
AF1003,AF180,2024-09-07,7.21,158,29,11,21.96,24.63
BA5001,BA400,2024-09-07,3.39,140,26,9,9.46,19.56
DL2002,DL100,2024-09-07,6.57,119,22,8,21.74,17.95
JL7001,JL600,2024-09-07,11.39,167,31,11,41.36,28.88
